V1,V2,V3,V4,V7,V8,V9,V10,Referer,Source,condition,xicondition,Email_time_1,Email_time_2,Email_time_3,Email_time_4,Previously,Q2,Q89,Q90,Q95,Q92_1,Q92_2,Q92_3,Q92_5,Q92_6,Q92_7,Q92_8,Q94_1,Q94_2,Q94_3,Q94_4,Q94_5,Q94_6,Q94_7,Q94_8,Q94_9,Q3,Q4,Q5,Q6,Q7,Q9,Q10_1,Q10_2,Q10_3,Q10_4,Q17_1,Q18_1,Q19_1,Q20,Q21_1,Q21_2,Q21_3,Q21_4,Q21_5,Q21_6,Q22_1,Q39,Q40_1,Q41_1,Q25,Q26,Q27,Q28,Q43,Q44,Q30,Q31,Q33,Q34,Q42,Q35,Q38,study,lab,share,RO.BR.FL_3,RO.BR.FL_8,LocationLatitude,LocationLongitude,LocationAccuracy,X,Birth.Year,Contact,Country,Education,English,Gender,H.Origins,Hispanic,Housing,Ideo.scale.con,Ideo.scale.ind,Ideo.scale.lib,Ideology,Language,Live.in.US,Marital,Occupation,Party,Party.2,Party.scale.dem,Party.scale.other,Party.scale.other_TEXT,Party.scale.rep,Race,Race_TEXT,Rel.Importance,Religion,Residence,Salary,Zip.Code,Zip.Code.2,Age
R_vcTXMFW3kFpjzmV,null,Anonymous,,0,2/3/21 15:50,2/3/21 16:07,1,,,facebookcw,children,0,0,5.761,0,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,,,,1,,21.249,120.703,138.1,6,20,2,6,Critical threat,Oppose,,Support,Support,,Support,70,Not sure,4,4,1-2 hours,Average familiarity with the news,Sometimes,Neither agree nor disagree,Blogs and other websites,Somewhat well,1,1,,More likely to support the U.S.,More likely to support the U.S.,Not sure,1,,,Yes,FL_20,FL_16|FL_15,33.51040649,-117.6591034,-1,NA,1940,"Yes, both",United States of America,Associate's Degree,Yes,Male,,No,Own,Strong Conservative,NA,NA,Conservative,,Yes,Married,retired,Republican,,NA,NA,NA,Strong Republican,White,NA,Strongly agree,Catholic,,"$150,000 and over",92675,92675,80
R_2TnO2iEGBpTpJ59,null,Anonymous,,0,2/7/21 22:24,2/7/21 22:34,1,,,foxcw,children,0,0,5.741,0,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,,,1,,,13.661,38.055,39.278,6,35,2,7,Critical threat,Oppose,Support,Support,,Support,Support,70,China Daily,2,3,30-60 minutes,High familiarity with the news,Most of the time,Somewhat disagree,Radio,Not at all,1,1,,More likely to support the U.S.,More likely to support the U.S.,No,1,,,No,FL_19,FL_16|FL_15,42.46069336,-83.45819855,-1,NA,1963,"Yes, both",United States of America,B.A. or B.S.,Yes,Male,,No,Own,NA,Lean Liberal,NA,Neither,,Yes,Married,Civil Engineer,Democrat,,Lean Democrat,NA,NA,NA,White,NA,Agree,Catholic,,"$150,000 and over",48167,48234,57
R_3g0judyrewEMly2,null,Anonymous,,0,2/3/21 15:09,2/3/21 15:14,1,android-app://com.google.android.gm/,,nytcw,party,14.248,14.248,14.992,1,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,,1,,,,7.701,40.457,41.047,14,80,5,9,Important but not critical threat,Oppose,Oppose,Oppose,Oppose,Support,Oppose,93,The New York Times,5,5,30-60 minutes,High familiarity with the news,Sometimes,Somewhat disagree,Blogs and other websites,Somewhat well,1,,1,More likely to support the U.S.,More likely to support the U.S.,No,1,,,,FL_18,FL_15|FL_16,41.43899536,-105.8010025,-1,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3gNw3OTezcI7Q3L,null,Anonymous,,0,2/6/21 17:11,2/6/21 17:34,1,,,nytcw,children,0,0,22.585,0,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,,1,,,,18.575,72.311,75.546,10,10,1,8,Critical threat,,Support,Support,,Support,Support,93,People.cn (China's People's Daily),1,1,More than 2 hours,High familiarity with the news,Most of the time,Totally agree,"Network TV news broadcasts (For example: ABC, CBS, or NBC)",Not at all,1,1,,More likely to support the U.S.,More likely to support the U.S.,Yes,1,,,,FL_18,FL_16|FL_15,37.76950073,-122.3849945,-1,NA,1941,"Yes, both",United States of America,B.A. or B.S.,Yes,Female,,No,NA,NA,NA,NA,Liberal,,Yes,NA,Retired,Democrat,,NA,NA,NA,NA,White,NA,NA,NA,,"$45,000-$49,999",94103,94103,79
R_9oWMzQN52gCQKsN,null,Anonymous,,0,2/4/21 9:41,2/4/21 9:47,1,,,nytbase,party,0,0,23.858,0,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,1,,,,,12.505,42.415,44.968,6,0,1,7,Critical threat,Support,Oppose,Support,Support,,Oppose,40,People.cn (China's People's Daily),1,1,30-60 minutes,Average familiarity with the news,Never,Totally disagree,"Network TV news broadcasts (For example: ABC, CBS, or NBC)",Not very well,1,,1,Not sure,Not sure,Not sure,1,,,,FL_17,FL_15|FL_16,36.68829346,-79.86849976,-1,NA,1985,"Yes, both",United States of America,High school graduate,Yes,Male,,,Rent,,Neither,,Neither,,Yes,Never married,tradesman,Democrat,,Lean Democrat,,,,White,,Strongly disagree,None,,"$35,000-$39,999",24011,24011,35
R_8Ba7Q9qdX8YJoXL,null,Anonymous,,0,2/3/21 15:37,2/3/21 15:45,1,,,facebookcw,children,0,0,7.022,0,Yes,1,1,Yes,,Other,,,,,,Other,,,,,,,,,,1,,,,1,,5.463,26.027,29.386,4,6,1,9,Critical threat,Support,Support,Support,Support,Oppose,Support,33,Not sure,1,1,More than 2 hours,Complete familiarity with the news,Never,Totally disagree,Blogs and other websites,Extremely well,1,1,,More likely to support China,More likely to support China,Yes,1,,,No,FL_20,FL_16|FL_15,40.87649536,-124.0760956,-1,NA,1995,"Yes, both",United States of America,Associate's Degree,Yes,Male,,,Rent,,Neither,,Neither,,Yes,Never married,College student,Other,,,Neither,Hoppean libertarian,,White,,Agree,Other Non-Christian,,"None or less than $2,999",93555,93555,25
R_2wMgzlSrnMfd0Jl,null,Anonymous,,0,2/4/21 16:09,2/4/21 16:18,1,,,foxcw,party,0,0,6.61,0,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,,,1,,,8.211,59.834,60.897,5,50,4,7,Critical threat,Oppose,,Support,,,Support,75,Not sure,4,3,More than 2 hours,High familiarity with the news,About half the time,Neither agree nor disagree,Blogs and other websites,Not very well,1,,1,Not sure,Not sure,Not sure,1,,,Yes,FL_19,FL_15|FL_16,36.09640503,-86.82119751,-1,NA,1950,"Yes, both",United States of America,Master's,Yes,Male,,No,Own,Lean Conservative,NA,NA,Conservative,,Yes,Married,executive,Republican,,NA,NA,NA,Lean Republican,White,NA,Strongly agree,Mainline Protestant,,"$90,000-$99,999",37215,14618,70
R_3KSCoYmjse5dA3s,null,Anonymous,,0,2/3/21 15:54,2/3/21 16:16,1,,,nytbase,children,0,0,4.562,0,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,1,,,,,5.78,43.47,45.284,5,40,2,5,Not an important threat at all,Oppose,Oppose,Support,Support,Oppose,Oppose,91,Not sure,6,7,30-60 minutes,High familiarity with the news,Never,Totally disagree,Blogs and other websites,Extremely well,1,1,,More likely to support China,More likely to support China,No,1,,,,FL_17,FL_16|FL_15,40.25840759,-111.6591034,-1,NA,1996,"Yes, both",United States of America,Associate's Degree,Yes,Male,,,Rent,Strong Conservative,,,Conservative,,Yes,Never married,Janitor/College student,Republican,,,,,Strong Republican,White,,Strongly agree,Mormon,,"$7,500 -$9,999",84604,76013,24
R_2Vxeh49EUKYQ9gd,null,Anonymous,,0,2/3/21 15:12,2/3/21 15:14,1,https://email.bt.com/mail/index-rui.jsp?v=2.19.1,,facebookcw,,0,0,3.488,0,No,1,1,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FL_20,,53.11309814,-1.659301758,-1,NA,NA,,,,,,,,NA,NA,NA,NA,,,,NA,,,,NA,NA,NA,NA,,NA,NA,NA,,,,,
R_2Swfu4otqPkyiAB,null,Anonymous,,0,2/4/21 11:39,2/4/21 11:48,1,,,peoplesdaily,children,0,0,3.891,0,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,,,,,1,10.534,32.302,34.405,4,50,3,9,Critical threat,Oppose,Oppose,Oppose,Oppose,Oppose,Support,72,Not sure,2,2,1-2 hours,Average familiarity with the news,Never,Totally disagree,Newspapers and news magazines,Somewhat well,1,1,,More likely to support the U.S.,More likely to support the U.S.,Yes,1,You give black/white options to fuzzy issues.  How can you collect any viable data from such narrow choices?,,Yes,FL_21,FL_16|FL_15,43.66920471,-114.4858017,-1,NA,1944,"Yes, both",United States of America,Master's,Yes,Male,,No,NA,NA,NA,NA,Conservative,,Yes,NA,professor of music,Republican,,NA,NA,NA,NA,White,NA,NA,NA,,"$35,000-$39,999",83340,83843,76
R_D8HGcdvcxq7o2UF,null,Anonymous,,0,2/3/21 18:41,2/3/21 18:52,1,,,nytbase,children,4.714,6.098,7.282,2,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,1,,,,,13.64,42.134,43.256,7,10,2,9,Critical threat,,Support,Support,,Support,Support,82,China Daily,3,2,More than 2 hours,High familiarity with the news,Most of the time,Somewhat agree,Radio,Not at all,1,1,,More likely to support the U.S.,More likely to support the U.S.,Not sure,1,,,Yes,FL_17,FL_16|FL_15,35.18710327,-106.6659012,-1,NA,1956,"Yes, both",United States of America,B.A. or B.S.,Yes,Female,,No,NA,NA,NA,NA,Liberal,,Yes,NA,Program Coordinator,Democrat,,NA,NA,NA,NA,White,NA,NA,NA,,"$50,000-$59,999",87108,87108,64
R_3pbrJ6j8BNGBVRD,null,Anonymous,,0,2/3/21 15:24,2/3/21 15:37,1,,,facebookcw,children,6.627,6.627,7.584,1,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,,,,1,,6.663,42.528,45.231,8,20,1,7,Critical threat,Oppose,Oppose,Support,Oppose,Support,,75,China Daily,2,2,1-2 hours,High familiarity with the news,Most of the time,Neither agree nor disagree,Radio,Not at all,1,1,,More likely to support the U.S.,More likely to support the U.S.,No,1,,,Yes,FL_20,FL_16|FL_15,32.74049377,-117.0934982,-1,NA,1985,Only research participation opportunities,United States of America,Associate's Degree,Yes,Male,,,Own,,,Lean Liberal,Liberal,,Yes,Married,U.S. Military,Other,,,Closer to Democrats,,,White,,Strongly disagree,Atheist,,"$60,000-$74,999",92392,89145,35
R_vOj3CREhJFxrVnz,null,Anonymous,,0,2/3/21 15:18,2/3/21 15:29,1,,,foxcw,party,0,0,1.893,0,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,,,1,,,5.952,22.862,168.509,3,19,1,9,Critical threat,Support,Support,Support,Support,,Support,50,China Daily,1,5,More than 2 hours,High familiarity with the news,Never,Totally disagree,Blogs and other websites,Extremely well,1,,1,More likely to support the U.S.,More likely to support the U.S.,Yes,1,"With respect to ""Chinese Americans"" you should differentiate recent/first generation from those that are more than a generation in America.  The former are more likely to either support China or be actual spies, especially those in government/tech, whereas those who are really American and have Chinese Heritage are more likely to support the US.",,No,FL_19,FL_15|FL_16,40.73800659,-73.9858017,-1,NA,1968,"Yes, both",United States of America,B.A. or B.S.,Yes,Male,,,Own,Strong Conservative,NA,NA,Conservative,NA,Yes,Married,Consultant (full stack software dev),Other,,NA,Closer Republicans,NA,NA,White,NA,Strongly disagree,Atheist,,"$150,000 and over",6040,6040,52
R_3HAO4QFZtOD5mOZ,null,Anonymous,,0,2/3/21 15:08,2/3/21 15:45,1,,,foxcw,children,0,0,5.121,0,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,,,1,,,7.216,34.612,36.052,7,30,2,7,Critical threat,Support,Support,Support,Support,,Support,88,People.cn (China's People's Daily),3,3,1-2 hours,High familiarity with the news,Sometimes,Totally disagree,Blogs and other websites,Very well,1,1,,Not sure,More likely to support the U.S.,Yes,1,"The Chinese people are smart, hard-working, diligent. They are family-oriented, creative, entrepreneurial. It is a tragedy of historic proportions that the Chinese GOVERNMENT is a totalitarian state that has in mind the restoration of Chinese greatness - again, it was true for centuries - at the specific expense of the USA's influence, which includes rules-based international order, rule of law, free trade, respect for human rights, individual liberty.  The USA cannot be the premier nation in the world forever, but if we allow China to become the top influencer in the world, the world should not forgive us.",,Yes,FL_19,FL_16|FL_15,28.54640198,-81.25849915,-1,NA,1947,"Yes, both",United States of America,B.A. or B.S.,Yes,Male,,No,NA,NA,NA,NA,Conservative,,Yes,NA,Technical Account Manager,Republican,,NA,NA,NA,NA,White,NA,NA,NA,,"$75,000-$89,999",32817,95014,73
R_2dYM7u0Ubg4UoH4,null,Anonymous,,0,2/3/21 15:30,2/3/21 15:35,1,,,foxcw,party,0,0,10.106,0,Yes,1,1,Yes,,Other,,,,,,Other,,,,,,,,,,1,,,1,,,8.466,30.897,31.653,6,1,1,6,Important but not critical threat,Support,Support,Support,Oppose,Oppose,,100,China Daily,1,2,30-60 minutes,Complete familiarity with the news,Sometimes,Totally disagree,Blogs and other websites,Not at all,1,,1,Not sure,More likely to support the U.S.,No,1,https://imgur.com/t/fuckchina,https://imgur.com/t/fuckchina,Yes,FL_19,FL_15|FL_16,39.70669556,-104.9693985,-1,NA,1985,"Yes, both",Norway,Master's,No,Male,,,Own,NA,Neither,NA,Neither,Norwegian,Yes,Never married,Information Managment,,,NA,NA,NA,NA,Other,Norse,Somewhat agree,Other Non-Christian,,"$100,000-$109,999",80212,80212,35
R_2YQl1S5tAf3L4tQ,null,Anonymous,,0,2/3/21 15:09,2/3/21 15:18,1,,,foxcw,children,0,0,5.829,0,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,,,1,,,7.406,23,24.232,4,61,4,7,Important but not critical threat,,Oppose,Support,Oppose,Support,Support,81,Fox News,4,3,Less than 30 minutes,Average familiarity with the news,Sometimes,Totally disagree,Newspapers and news magazines,Somewhat well,1,1,,More likely to support the U.S.,More likely to support the U.S.,No,1,"Some of the questions (i.e. the one about who wrote the ""news"" article) would be improved by options to select more than one, or at least an ""other"" option with a comment box.",,Yes,FL_19,FL_16|FL_15,43.03489685,-82.57479858,-1,NA,1951,"Yes, both",United States of America,B.A. or B.S.,Yes,Female,,No,NA,NA,NA,NA,Conservative,,Yes,NA,homemaker,Other,Republicans,NA,NA,NA,NA,White,NA,NA,NA,,"None or less than $2,999",48059,48060,69
R_DpYVHj7ap0OGcSt,null,Anonymous,,0,2/8/21 11:10,2/8/21 11:23,1,,,nytcw,party,0,0,3.021,0,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,,1,,,,9.96,66.284,67.194,10,35,2,7,Important but not critical threat,Support,Oppose,Support,,,,50,China Daily,2,4,More than 2 hours,High familiarity with the news,Most of the time,Somewhat agree,"Network TV news broadcasts (For example: ABC, CBS, or NBC)",Not very well,1,,1,More likely to support the U.S.,Not sure,No,1,,,Yes,FL_18,FL_15|FL_16,39.30459595,-76.6411972,-1,NA,1994,"Yes, both",United States of America,B.A. or B.S.,Yes,Female,,,Rent,,Lean Liberal,,Neither,,Yes,Never married,registered nurse,Democrat,,Lean Democrat,,,,White,,Strongly disagree,Agnostic,,"$50,000-$59,999",21201,21146,26
R_3M5Pj3CtSpb3Gth,null,Anonymous,,0,2/3/21 16:56,2/3/21 17:07,1,,,nytcw,party,1.108,2.183,2.887,2,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,,1,,,,7.301,54.313,55.279,17,0,1,10,Critical threat,Support,Support,Support,Support,Oppose,Oppose,85,Not sure,1,1,1-2 hours,High familiarity with the news,Never,Totally disagree,Newspapers and news magazines,Extremely well,1,,1,Not sure,Not sure,Yes,1,China is our enemy.  I have seen Chinese scientists attend poster sessions at national conventions and take pictures of other people's work.,,Yes,FL_18,FL_15|FL_16,42.08039856,-78.42340088,-1,NA,1988,"Yes, both",United States of America,Ph.D.,Yes,Male,,,Own,,Lean Conservative,,Neither,,Yes,Married,Assistant Professor,Other,,,Closer Republicans,,,White,,Strongly disagree,Atheist,,"$50,000-$59,999",14706,14706,32
R_A4fx1u1EodRPqAV,null,Anonymous,,0,2/9/21 7:00,2/9/21 7:05,1,https://mail.google.com/mail/u/1/,,foxcw,party,1.879,1.879,3.27,1,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,,,1,,,5.473,34.777,42.394,4,0,1,8,Critical threat,Support,Support,Support,Support,Oppose,Support,8,Fox News,1,1,More than 2 hours,Average familiarity with the news,Never,Somewhat disagree,Blogs and other websites,Very well,1,,1,More likely to support China,More likely to support China,Yes,1,,,Yes,FL_19,FL_15|FL_16,38.79870605,-90.50340271,-1,NA,1987,"Yes, both",United States of America,Associate's Degree,Yes,Male,,,Own,,Lean Conservative,,Neither,,Yes,Never married,assembly mechanic,Other,,,Closer Republicans,,,White,,Somewhat agree,Other Non-Christian,,"$40,000-$44,999",63301,63301,33
R_1lAEcfuRoERhF2p,null,Anonymous,,0,2/4/21 15:46,2/4/21 15:53,1,,,foxcw,children,0,0,2.623,0,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,,,1,,,21.518,37.859,38.998,4,86,6,10,Important but not critical threat,Oppose,Oppose,Oppose,Oppose,Support,Oppose,89,China Daily,6,3,More than 2 hours,Average familiarity with the news,About half the time,Neither agree nor disagree,"Network TV news broadcasts (For example: ABC, CBS, or NBC)",Not very well,1,1,,Not sure,Not sure,Not sure,1,,,No,FL_19,FL_16|FL_15,40.39900208,-86.85749817,-1,NA,1959,"Yes, both",United States of America,Master's,No,Female,,No,Own,Strong Conservative,NA,NA,Conservative,Hebrew,Yes,Married,Author,Republican,Democrats,NA,NA,NA,Strong Republican,Other,Jewish,Strongly agree,Jewish,,"$100,000-$109,999",47901,46307,61
R_2YMyRlaxx18wN0O,null,Anonymous,,0,2/3/21 15:24,2/3/21 15:36,1,,,nytcw,party,10.069,13.852,15.643,2,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,,1,,,,3.718,65.527,71.596,14,20,2,9,Critical threat,Support,Support,Support,Support,Support,Support,82,China Daily,2,1,1-2 hours,High familiarity with the news,About half the time,Somewhat disagree,"Cable TV news broadcasts (For example: CNN, Fox News, or MSNBC)",Somewhat well,1,,1,More likely to support the U.S.,More likely to support the U.S.,No,1,Will you publish the results of this survey?,I am happy to have been given the opportunity to participate in the survey. I do have strong feelings about this topic.,Yes,FL_18,FL_15|FL_16,43.4282074,-83.97640228,-1,NA,1949,"No, do not contact me",United States of America,Ph.D.,Yes,Female,,,Some other arrangement,Strong Conservative,,,Conservative,,Yes,Never married,Speech/language Pathologist,Republican,,,Closer Republicans,,Strong Republican,White,,Strongly agree,Catholic,,"$25,000-$29,999",48607,193,71
R_2tGxMohtvDFvG9m,null,Anonymous,,0,2/3/21 15:21,2/3/21 15:28,1,,,nytbase,party,0,0,3.781,0,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,1,,,,,6.644,32.231,40.381,3,12,1,7,Critical threat,Support,Support,Support,Support,Support,,66,The New York Times,2,2,1-2 hours,High familiarity with the news,Sometimes,Totally disagree,"Cable TV news broadcasts (For example: CNN, Fox News, or MSNBC)",Very well,1,,1,Not sure,More likely to support the U.S.,Not sure,1,,,Yes,FL_17,FL_15|FL_16,32.10699463,-81.24990082,-1,NA,1946,"Yes, both",United States of America,Master's,Yes,Male,,,Own,Lean Conservative,NA,NA,Conservative,NA,Yes,Married,Retired,Republican,,NA,NA,NA,Lean Republican,White,NA,Disagree,Jewish,,"$45,000-$49,999",31322,11550,74
R_1N4f11YG6j7T5xb,null,Anonymous,,0,2/3/21 15:21,2/3/21 15:29,1,,,foxcw,party,0,0,5.618,0,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,,,1,,,15.122,56.682,58.469,6,33,1,9,Critical threat,Oppose,Support,Support,Oppose,Support,Support,80,People.cn (China's People's Daily),3,5,More than 2 hours,Complete familiarity with the news,About half the time,Somewhat agree,Blogs and other websites,Not very well,1,,1,Not sure,More likely to support the U.S.,No,1,,,Yes,FL_19,FL_15|FL_16,35.2368927,-80.89569855,-1,NA,1980,"Yes, both",United States of America,B.A. or B.S.,Yes,Male,,No,Own,,,Strong Liberal,Liberal,,Yes,Married,IT Admin,Democrat,,Strong Democrat,,,,White,,Strongly disagree,Atheist,,"$50,000-$59,999",28217,28037,40
R_31Gw6kOQz5AisiD,null,Anonymous,,0,2/3/21 16:57,2/3/21 18:59,1,,,facebookcw,children,1.137,1.137,2.68,1,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,,,,1,,0.722,29.412,30.343,11,10,1,8,Important but not critical threat,Oppose,Oppose,Support,Oppose,Support,Oppose,80,China Daily,1,2,30-60 minutes,High familiarity with the news,Sometimes,Somewhat disagree,Newspapers and news magazines,Not at all,1,1,,Not sure,Not sure,Not sure,1,,,No,FL_20,FL_16|FL_15,47.61369324,-122.3103943,-1,NA,1977,"Yes, both",United States of America,B.A. or B.S.,Yes,Female,,No,NA,NA,NA,NA,Liberal,,Yes,NA,Management,Democrat,,NA,NA,NA,NA,White,NA,NA,NA,,"$75,000-$89,999",98166,98105,43
R_2OUe1dNAC92crQj,null,Anonymous,,0,2/4/21 21:34,2/4/21 21:46,1,,,peoplesdaily,children,21.248,22.284,39.059,2,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,,,,,1,19.558,58.8,63.724,4,30,2,5,Important but not critical threat,,,Support,,,Support,81,China Daily,4,3,1-2 hours,Average familiarity with the news,About half the time,Somewhat disagree,"Facebook, Twitter and other social media",Not at all,1,1,,More likely to support the U.S.,More likely to support the U.S.,No,1,,,Yes,FL_21,FL_16|FL_15,47.02400208,-122.7826996,-1,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2OUe1dNAC92crQj,null,Anonymous,,0,2/4/21 21:34,2/4/21 21:46,1,,,peoplesdaily,children,21.248,22.284,39.059,2,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,,,,,1,19.558,58.8,63.724,4,30,2,5,Important but not critical threat,,,Support,,,Support,81,China Daily,4,3,1-2 hours,Average familiarity with the news,About half the time,Somewhat disagree,"Facebook, Twitter and other social media",Not at all,1,1,,More likely to support the U.S.,More likely to support the U.S.,No,1,,,Yes,FL_21,FL_16|FL_15,47.02400208,-122.7826996,-1,NA,1954,"Yes, both",United States of America,B.A. or B.S.,Yes,Female,,No,NA,NA,NA,NA,Liberal,,Yes,NA,Business Systems Analyst,Democrat,,NA,NA,NA,NA,White,NA,NA,NA,,"$100,000-$109,999",98516,98516,66
R_QhMseplqBx7a74t,null,Anonymous,,0,2/3/21 19:31,2/3/21 19:47,1,,,foxcw,children,2.977,5.477,6.825,2,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,,,1,,,16.902,132.291,135.114,11,20,3,7,Critical threat,Support,Support,Support,Support,,Support,60,China Daily,5,4,More than 2 hours,Average familiarity with the news,Sometimes,Somewhat disagree,Blogs and other websites,Somewhat well,1,1,,More likely to support the U.S.,Not sure,Not sure,1,,,,FL_19,FL_16|FL_15,38.9815979,-77.00440216,-1,NA,1961,"Yes, both",United States of America,High school graduate,No,Male,,,Own,Strong Conservative,,,Conservative,Polish,Yes,Married,Electrician,Republican,,,,,Lean Republican,White,,Strongly agree,Evangelical Protestant,,"$50,000-$59,999",23005,6442,59
R_1QmZrtKthygTWgi,null,Anonymous,,0,2/3/21 18:13,2/3/21 18:17,1,,,facebookcw,children,0,0,6.551,0,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,,,,1,,5.293,17.994,20.038,4,15,1,8,Critical threat,Support,Support,Support,Support,Oppose,Oppose,100,China Daily,3,4,1-2 hours,High familiarity with the news,Never,Totally disagree,Blogs and other websites,Very well,1,1,,More likely to support the U.S.,More likely to support the U.S.,Yes,1,,,Yes,FL_20,FL_16|FL_15,26.5355072,-80.10980225,-1,NA,1989,"Yes, both",United States of America,High school graduate,Yes,Male,,,Rent,,,Lean Liberal,Liberal,,Yes,Never married,Auto mechanic,Other,,Lean Democrat,Closer Republicans,,,White,,Strongly disagree,Agnostic,,"$50,000-$59,999",33437,34747,31
R_C7d7UQ4enbq3fX3,null,Anonymous,,0,2/4/21 12:16,2/4/21 12:26,1,,,nytbase,party,5.428,5.428,13.199,1,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,1,,,,,1.429,50.885,51.72,14,50,4,7,Critical threat,Support,Support,Support,,Oppose,Support,50,Not sure,4,5,1-2 hours,Average familiarity with the news,About half the time,Somewhat disagree,"Network TV news broadcasts (For example: ABC, CBS, or NBC)",Not very well,1,,1,Not sure,Not sure,No,1,,,,FL_17,FL_15|FL_16,37.75100708,-97.8219986,-1,NA,1952,"Yes, both",United States of America,Associate's Degree,Yes,Female,,No,NA,NA,NA,NA,Conservative,,Yes,NA,Retired,Democrat,,NA,NA,NA,NA,White,NA,NA,NA,,"$30,000-$34,999",15074,15234,68
R_12y6UvrwPLlhTM2,null,Anonymous,,0,2/3/21 16:28,2/3/21 16:35,1,,,facebookcw,party,0,0,69.767,0,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,,,,1,,7.977,46.887,49.146,5,20,2,5,Critical threat,,,Support,,,Support,80,China Daily,2,3,More than 2 hours,High familiarity with the news,Sometimes,Neither agree nor disagree,Newspapers and news magazines,Not very well,1,,1,Not sure,Not sure,No,1,,,,FL_20,FL_15|FL_16,39.688797,-105.1559982,-1,NA,1960,"Yes, both",United States of America,Master's,Yes,Female,,No,Own,NA,Neither,NA,Neither,,Yes,Never married,retired,Democrat,,Lean Democrat,NA,NA,NA,White,NA,Somewhat agree,Other Non-Christian,,"$25,000-$29,999",80214,80214,60
R_1NqceeoExCBKqRd,null,Anonymous,,0,2/3/21 15:34,2/3/21 15:46,1,,,nytcw,party,7.744,15.583,17.647,3,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,,1,,,,45.589,96.608,98.08,9,10,1,8,Critical threat,Support,Support,Support,Support,Support,Support,0,The New York Times,1,1,More than 2 hours,High familiarity with the news,Never,Totally disagree,"Cable TV news broadcasts (For example: CNN, Fox News, or MSNBC)",Extremely well,1,,1,More likely to support China,More likely to support China,Yes,1,,,Yes,FL_18,FL_15|FL_16,39.48260498,-75.00270081,-1,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1k0k330gpE4gum8,null,Anonymous,,0,2/3/21 22:31,2/3/21 22:35,1,,,nytbase,children,0,0,2.932,0,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,1,,,,,6.33,26.199,27.392,5,0,1,8,Critical threat,Support,Support,Support,Oppose,Oppose,Support,60,The New York Times,1,1,More than 2 hours,High familiarity with the news,Never,Totally disagree,Radio,Not very well,1,1,,Not sure,More likely to support the U.S.,Not sure,1,,,Yes,FL_17,FL_16|FL_15,35.98060608,-78.84259796,-1,NA,1994,Only research participation opportunities,United States of America,Associate's Degree,Yes,Male,,,Rent,Lean Conservative,,,Conservative,,Yes,Never married,Drafter,Other,,,Closer Republicans,,,White,,Strongly disagree,Agnostic,,"$40,000-$44,999",27606,27606,26
R_3CPHeIlqA7rfitS,null,Anonymous,,0,2/7/21 23:56,2/8/21 0:01,1,,,peoplesdaily,children,0,0,21.113,0,Yes,1,1,Yes,,White,,,,Native American or American Indian,,,,,,,,,,,,1,,,,,1,5.398,18.707,21.801,3,0,1,7,Critical threat,Support,Support,Support,Support,Oppose,Support,20,People.cn (China's People's Daily),1,1,More than 2 hours,High familiarity with the news,Never,Totally disagree,Blogs and other websites,Extremely well,1,1,,More likely to support China,More likely to support China,Yes,1,,,No,FL_21,FL_16|FL_15,36.31700134,-119.3087006,-1,NA,NA,,,Associate's Degree,,,,,,,,,,,,,Commerical Passenger Transporter,,,,,,,,,,,,,,,
